season_label,team,gk_save_pct,gk_cs_pct,gk_ga90,top3_ga_per90,squad_age,squad_depth,team_tkl_per90,team_int_per90,team_discipline_per90,avg_on_off
2022-2023,Crystal Palace,72.6,22.2,1.26,0.12,26.244533333333333,13.0,1.0076775431861806,0.8277351247600768,0.2183301343570058,0.486923076923077
2022-2023,Everton,70.1,21.6,1.54,0.29,26.071668086012348,16.0,1.02803738317757,0.9273903666427029,0.20848310567936731,-0.005714285714285665
2022-2023,Fulham,76.3,22.2,1.42,0.15,27.57737698803847,15.0,0.8537170263788969,0.7889688249400479,0.19904076738609114,0.46214285714285713
2022-2023,Leeds United,59.5,14.7,1.97,0.55,24.68497817523688,17.0,1.1451844753234308,0.9199808337326306,0.2347867752755151,0.011764705882352946
2022-2023,Leicester City,63.0,23.1,1.77,0.7000000000000001,25.612794254555126,18.0,0.9791716542973427,0.8642566435240604,0.16519032798659325,0.0952941176470588
2022-2023,Liverpool,71.9,37.8,1.16,1.3199999999999998,26.9334858723993,19.0,0.8931992337164751,0.7303639846743296,0.14367816091954025,0.17470588235294116
2022-2023,Manchester City,61.3,31.4,0.91,2.54,26.74951404606577,18.0,0.6519654841802492,0.5129434324065196,0.11265580057526366,0.35124999999999995
2022-2023,Manchester Utd,70.7,44.7,1.13,1.23,26.421261520430452,17.0,0.9590026372572525,0.783984655957804,0.20139055382402304,0.106
2022-2023,Newcastle United,73.5,37.8,0.88,0.33,26.65473622540012,14.0,0.8772770853307766,0.7813998082454459,0.15340364333652926,0.3392857142857143
2022-2023,Nottingham Forest,63.3,33.3,1.72,0.77,26.041360978203084,19.0,0.9428092845178272,0.8159846853314189,0.20100502512562812,0.16133333333333333
2022-2023,Southampton,54.9,12.5,1.75,0.42,24.18987240829346,19.0,1.0339875538535184,1.0004786979415987,0.17472474868358065,0.08117647058823531
2022-2023,Tottenham Hotspur,67.5,28.0,1.59,1.63,27.163686675180926,17.0,0.8692528735632185,0.7878352490421456,0.20593869731800768,0.3635294117647059
2022-2023,West Ham United,69.9,25.0,1.39,0.61,27.63298777246146,16.0,0.7968413496051686,0.9763101220387652,0.10528834649437664,0.36
2022-2023,Wolves,66.2,30.6,1.53,0.24,26.137725670334365,19.0,0.8771929824561403,0.6416726748377793,0.24753664984378754,0.008125000000000014
2023-2024,Arsenal,66.7,43.8,0.75,1.02,24.48579333829946,16.0,0.8359281437125748,0.6730538922155689,0.16766467065868262,-0.2330769230769231
2023-2024,Aston Villa,66.9,20.6,1.43,1.23,26.41582209453888,15.0,0.7443752991862135,0.5385351842987075,0.23934897079942555,0.276
2023-2024,Bournemouth,68.9,21.9,1.72,0.78,25.16952401235225,16.0,0.9944883776659479,0.8123652048885694,0.21087946321591183,0.06937500000000005
2023-2024,Brentford,65.3,18.9,1.73,0.26,26.20747927606152,17.0,0.9522667306308468,0.8899016550731591,0.22787239146078198,-0.07705882352941176
2023-2024,Brighton,72.2,19.0,1.33,0.53,25.37718924673942,18.0,0.888622754491018,0.6730538922155689,0.237125748502994,0.1911764705882353
2023-2024,Burnley,65.0,7.1,2.21,0.39,23.92694783514517,17.0,0.8175042077422457,0.6660254868958885,0.23563356576100025,0.1375
2023-2024,Chelsea,67.0,18.2,1.72,1.0899999999999999,23.722014925373134,17.0,0.9184652278177458,0.6810551558752997,0.28776978417266186,0.13312500000000002
2023-2024,Crystal Palace,62.1,30.0,1.35,0.66,26.30618649928188,19.0,1.0959559703278297,0.7250538406317302,0.1890404402967217,0.04611111111111114
2023-2024,Everton,73.8,26.3,1.34,0.23,26.60216685300538,15.0,1.0522531160115054,0.8437200383509108,0.2037392138063279,0.333076923076923
2023-2024,Fulham,71.7,26.3,1.61,0.48000000000000004,27.81967213114754,18.0,0.9282801631086591,0.880307028064284,0.22787239146078195,0.037647058823529415
2023-2024,Liverpool,74.1,25.0,1.07,0.91,25.91657316877705,18.0,1.0074537148352967,0.6564077903342148,0.20197162779514302,-0.12666666666666665
2023-2024,Luton Town,64.0,5.3,2.25,1.09,26.145933014354068,19.0,0.8734146925101698,0.7561617611868867,0.16989710457047139,-0.0021052631578947225
2023-2024,Manchester City,70.4,33.3,0.87,1.5,26.268909352211637,16.0,0.7428708363287801,0.5367840881859572,0.14138509465612267,-0.023750000000000014
2023-2024,Manchester Utd,74.5,23.7,1.53,1.05,25.648847656769185,18.0,0.975609756097561,0.7364897178383549,0.20564323290291728,0.17466666666666666
2023-2024,Newcastle United,69.4,22.7,1.9,1.21,26.564395651133736,19.0,0.933237616654702,0.6460875807609475,0.19621919119406556,-0.11117647058823528
2023-2024,Nottingham Forest,67.9,11.8,1.65,1.01,25.228442642626625,18.0,1.029517638588913,0.7751379889608833,0.2183825293976482,0.06222222222222224
2023-2024,Sheffield United,64.3,3.4,2.68,0.47,25.251460272584215,17.0,0.9529524723955833,0.7969275084013443,0.2784445511281805,0.1823076923076923
2023-2024,Tottenham Hotspur,67.1,15.8,1.61,1.2799999999999998,24.6454523612483,16.0,1.083353350948835,0.8167187124669709,0.24981984146048522,0.22
2023-2024,West Ham United,73.6,12.9,1.77,0.9500000000000001,27.6645375914837,13.0,1.0186960690316396,0.8341323106423778,0.21812080536912754,0.2653846153846154
2023-2024,Wolves,72.8,11.4,1.72,0.22999999999999998,26.160413833559982,15.0,1.0252100840336134,0.6602641056422568,0.2737094837935174,0.37538461538461537
2024-2025,Arsenal,73.5,34.2,0.89,0.6,25.330650121680527,16.0,0.8014440433212996,0.5511432009626955,0.21179302045728038,-0.10214285714285712
2024-2025,Aston Villa,68.1,21.6,1.32,0.8800000000000001,26.463589579500308,15.0,0.8855291576673866,0.5543556515478761,0.2111831053515719,0.2880000000000001
2024-2025,Bournemouth,73.5,25.8,1.26,0.67,24.54023080408305,15.0,0.959462700887503,0.8083473254977213,0.2542576157351883,-0.3871428571428571
2024-2025,Brentford,73.9,21.6,1.51,0.96,25.316183124833643,14.0,0.9034267912772586,0.6637910376228133,0.1557632398753894,2.5638461538461543
2024-2025,Brighton,65.0,19.4,1.61,0.6799999999999999,24.275953883430518,17.0,1.0373742213703883,0.7498802108289411,0.20843315764254913,0.00533333333333332
2024-2025,Chelsea,75.6,31.3,1.06,0.82,23.251091470556915,16.0,0.8890486460579918,0.6230529595015576,0.2564102564102564,0.05785714285714284
2024-2025,Crystal Palace,67.1,28.9,1.34,0.45999999999999996,25.841230523371955,15.0,1.069031639501438,0.7933844678811122,0.22051773729626079,0.18999999999999997
2024-2025,Everton,72.7,31.6,1.16,0.24,27.527185189125923,17.0,1.0387745332695069,0.7826711345141215,0.2106270943034945,0.071875
2024-2025,Fulham,67.7,13.2,1.42,0.76,27.548250631901023,16.0,0.9698275862068965,0.6992337164750958,0.20593869731800765,-0.07285714285714286
2024-2025,Ipswich Town,70.0,5.6,1.83,0.23,25.118466060929983,17.0,0.8154919413038249,0.7120519605484725,0.2598027423622805,0.023999999999999997
2024-2025,Leicester City,64.7,3.7,2.19,0.56,26.068234981392877,17.0,1.0193826274228286,0.7250538406317302,0.20818377602297203,0.009411764705882356
2024-2025,Liverpool,73.6,35.7,1.04,1.4700000000000002,26.75136590176168,14.0,0.9568345323741008,0.7026378896882494,0.18225419664268586,0.515
2024-2025,Manchester City,69.2,38.5,1.01,1.23,26.357844050121045,17.0,0.6944444444444444,0.5268199233716475,0.15565134099616856,0.16687500000000002
2024-2025,Manchester Utd,68.2,26.5,1.29,0.67,24.999146188532244,17.0,1.1890463607975017,0.8431419649291375,0.22820081671871242,-0.025000000000000022
2024-2025,Newcastle United,71.7,28.6,1.25,0.47,26.7762068322816,14.0,0.8748801534036433,0.6255992329817833,0.17018216682646214,0.3878571428571428
2024-2025,Nottingham Forest,73.6,34.2,1.21,0.33999999999999997,25.630788052873747,14.0,1.0172331258975584,0.7467687888942076,0.2297750119674485,0.2254545454545454
2024-2025,Southampton,66.5,10.0,2.2,0.28,24.89290851936704,17.0,0.9254375449532487,0.6808918724526493,0.23495564612802688,0.18705882352941178
2024-2025,Tottenham Hotspur,65.4,16.7,1.54,1.18,24.44557271591483,19.0,0.9495336044008611,0.6960057402535279,0.17938292274575462,0.2444444444444444
2024-2025,West Ham United,66.1,20.0,1.63,0.87,27.523643431492626,16.0,0.9249940091061587,0.7668344116942248,0.2180685358255452,0.0
2024-2025,Wolves,60.9,24.1,1.66,0.56,26.477498803127826,16.0,1.154214559386973,0.6872605363984674,0.203544061302682,0.29000000000000004
